config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,spain_iptv,1,4534,47,299.58,4570,36
Default,spain_iptv,2,4564,47,299.43,4573,9
Default,spain_iptv,3,4548,47,299.48,4573,25
Default,spain_iptv,4,4531,47,299.47,4572,41
Default,spain_iptv,5,4537,47,299.45,4570,33
Default,spain_iptv,6,4548,47,299.44,4563,15
Default,spain_iptv,7,4550,47,277.7,4573,23
Default,spain_iptv,8,4544,47,299.46,4571,27
Default,spain_iptv,9,4567,47,299.45,4573,6
Default,spain_iptv,10,4532,47,299.44,4573,41
Explorues,spain_iptv,1,4554,47,299.48,4570,16
Explorues,spain_iptv,2,4564,47,299.5,4572,8
Explorues,spain_iptv,3,4542,47,299.49,4572,30
Explorues,spain_iptv,4,4550,47,299.46,4572,22
Explorues,spain_iptv,5,4545,47,299.52,4572,27
Explorues,spain_iptv,6,4534,47,299.42,4571,37
Explorues,spain_iptv,7,4533,47,299.48,4573,40
Explorues,spain_iptv,8,4560,47,299.48,4570,10
Explorues,spain_iptv,9,4543,47,299.48,4572,29
Explorues,spain_iptv,10,4525,47,299.44,4572,47
Intensiv,spain_iptv,1,4537,47,131.07,4568,31
Intensiv,spain_iptv,2,4536,47,197.26,4571,35
Intensiv,spain_iptv,3,4563,47,141.66,4573,10
Intensiv,spain_iptv,4,4546,47,240.22,4572,26
Intensiv,spain_iptv,5,4546,47,213.52,4573,27
Intensiv,spain_iptv,6,4567,47,178.18,4573,6
Intensiv,spain_iptv,7,4566,47,179.01,4572,6
Intensiv,spain_iptv,8,4543,47,194.16,4571,28
Intensiv,spain_iptv,9,4535,47,142.75,4571,36
Intensiv,spain_iptv,10,4534,47,206.07,4573,39
Balancuar,spain_iptv,1,4550,47,299.56,4570,20
Balancuar,spain_iptv,2,4556,47,299.45,4573,17
Balancuar,spain_iptv,3,4533,47,299.49,4573,40
Balancuar,spain_iptv,4,4553,47,299.51,4573,20
Balancuar,spain_iptv,5,4537,47,299.44,4570,33
Balancuar,spain_iptv,6,4534,47,299.15,4573,39
Balancuar,spain_iptv,7,4548,47,299.5,4573,25
Balancuar,spain_iptv,8,4541,47,299.43,4571,30
Balancuar,spain_iptv,9,4534,47,299.45,4573,39
Balancuar,spain_iptv,10,4527,47,299.46,4572,45
