config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,uk_iptv,1,5188,46,299.53,5188,0
Default,uk_iptv,2,5164,46,299.78,5214,50
Default,uk_iptv,3,5176,46,299.46,5218,42
Default,uk_iptv,4,5174,46,299.78,5216,42
Default,uk_iptv,5,5176,46,299.57,5218,42
Default,uk_iptv,6,5202,46,299.45,5208,6
Default,uk_iptv,7,5189,46,299.46,5189,0
Default,uk_iptv,8,5176,46,299.6,5218,42
Default,uk_iptv,9,5215,46,299.58,5218,3
Default,uk_iptv,10,5270,47,299.58,5284,14
Explorues,uk_iptv,1,5161,46,299.44,5203,42
Explorues,uk_iptv,2,5313,47,299.78,5313,0
Explorues,uk_iptv,3,5179,46,299.5,5186,7
Explorues,uk_iptv,4,5166,46,299.48,5170,4
Explorues,uk_iptv,5,5196,46,299.48,5225,29
Explorues,uk_iptv,6,5234,46,299.69,5234,0
Explorues,uk_iptv,7,5153,46,299.47,5171,18
Explorues,uk_iptv,8,5183,46,299.49,5218,35
Explorues,uk_iptv,9,5170,46,299.43,5213,43
Explorues,uk_iptv,10,5244,47,299.67,5274,30
Intensiv,uk_iptv,1,5151,46,277.42,5208,57
Intensiv,uk_iptv,2,5183,46,299.46,5218,35
Intensiv,uk_iptv,3,5323,47,289.71,5323,0
Intensiv,uk_iptv,4,5176,46,232.82,5218,42
Intensiv,uk_iptv,5,5176,46,299.75,5211,35
Intensiv,uk_iptv,6,5239,47,282.58,5244,5
Intensiv,uk_iptv,7,5181,46,279.7,5216,35
Intensiv,uk_iptv,8,5174,46,299.44,5216,42
Intensiv,uk_iptv,9,5214,46,299.77,5222,8
Intensiv,uk_iptv,10,5181,46,289.5,5216,35
Balancuar,uk_iptv,1,5174,46,299.46,5216,42
Balancuar,uk_iptv,2,5183,46,299.48,5218,35
Balancuar,uk_iptv,3,5232,46,299.57,5255,23
Balancuar,uk_iptv,4,5188,46,299.47,5192,4
Balancuar,uk_iptv,5,5176,46,299.51,5218,42
Balancuar,uk_iptv,6,5191,46,299.58,5194,3
Balancuar,uk_iptv,7,5174,46,299.49,5216,42
Balancuar,uk_iptv,8,5151,46,299.49,5208,57
Balancuar,uk_iptv,9,5217,46,299.44,5218,1
Balancuar,uk_iptv,10,5184,46,299.53,5187,3
