config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,australia_iptv,1,4444,41,299.47,4450,6
Default,australia_iptv,2,4414,41,299.57,4459,45
Default,australia_iptv,3,4330,41,299.43,4365,35
Default,australia_iptv,4,4259,39,299.54,4341,82
Default,australia_iptv,5,4359,40,299.44,4374,15
Default,australia_iptv,6,4395,40,299.59,4395,0
Default,australia_iptv,7,4404,41,299.45,4462,58
Default,australia_iptv,8,4439,41,299.58,4455,16
Default,australia_iptv,9,4444,41,299.55,4449,5
Default,australia_iptv,10,4375,40,299.53,4383,8
Explorues,australia_iptv,1,4459,41,299.53,4460,1
Explorues,australia_iptv,2,4326,41,299.45,4353,27
Explorues,australia_iptv,3,4379,41,299.49,4396,17
Explorues,australia_iptv,4,4357,41,299.47,4392,35
Explorues,australia_iptv,5,4359,40,299.52,4374,15
Explorues,australia_iptv,6,4372,41,299.44,4464,92
Explorues,australia_iptv,7,4406,41,299.58,4457,51
Explorues,australia_iptv,8,4341,40,299.47,4343,2
Explorues,australia_iptv,9,4371,40,299.5,4374,3
Explorues,australia_iptv,10,4411,41,299.52,4454,43
Intensiv,australia_iptv,1,4441,41,271.23,4446,5
Intensiv,australia_iptv,2,4333,40,287.99,4360,27
Intensiv,australia_iptv,3,4388,41,278.95,4426,38
Intensiv,australia_iptv,4,4339,40,278.33,4341,2
Intensiv,australia_iptv,5,4368,40,272.38,4383,15
Intensiv,australia_iptv,6,4430,41,299.44,4430,0
Intensiv,australia_iptv,7,4377,41,267.94,4466,89
Intensiv,australia_iptv,8,4410,41,267.71,4412,2
Intensiv,australia_iptv,9,4395,41,299.45,4424,29
Intensiv,australia_iptv,10,4363,40,281.98,4371,8
Balancuar,australia_iptv,1,4442,41,299.57,4446,4
Balancuar,australia_iptv,2,4352,41,299.45,4379,27
Balancuar,australia_iptv,3,4420,41,299.59,4425,5
Balancuar,australia_iptv,4,4444,41,299.47,4446,2
Balancuar,australia_iptv,5,4460,41,299.54,4460,0
Balancuar,australia_iptv,6,4457,41,299.57,4463,6
Balancuar,australia_iptv,7,4421,41,299.52,4421,0
Balancuar,australia_iptv,8,4379,41,299.57,4395,16
Balancuar,australia_iptv,9,4450,41,299.45,4455,5
Balancuar,australia_iptv,10,4363,40,299.44,4371,8
