config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,youtube_gold,1,100292,3084,299.81,100370,78
Default,youtube_gold,2,100422,3092,299.81,100494,72
Default,youtube_gold,3,100296,3082,299.47,100374,78
Default,youtube_gold,4,100290,3084,299.81,100368,78
Default,youtube_gold,5,100297,3084,299.81,100397,100
Default,youtube_gold,6,100302,3084,299.6,100380,78
Default,youtube_gold,7,100373,3086,299.47,100452,79
Default,youtube_gold,8,100563,3098,299.55,100632,69
Default,youtube_gold,9,100290,3084,299.81,100350,60
Default,youtube_gold,10,100290,3084,299.92,100368,78
Explorues,youtube_gold,1,100302,3084,299.53,100378,76
Explorues,youtube_gold,2,100290,3084,299.81,100368,78
Explorues,youtube_gold,3,100306,3083,299.56,100394,88
Explorues,youtube_gold,4,100290,3084,299.8,100368,78
Explorues,youtube_gold,5,100318,3086,299.81,100390,72
Explorues,youtube_gold,6,100292,3084,299.81,100370,78
Explorues,youtube_gold,7,100425,3090,299.83,100504,79
Explorues,youtube_gold,8,100290,3084,299.81,100362,72
Explorues,youtube_gold,9,100294,3084,299.85,100372,78
Explorues,youtube_gold,10,100294,3084,299.81,100363,69
Intensiv,youtube_gold,1,100298,3082,299.81,100376,78
Intensiv,youtube_gold,2,100439,3092,299.47,100511,72
Intensiv,youtube_gold,3,100310,3084,299.8,100382,72
Intensiv,youtube_gold,4,100299,3084,299.83,100377,78
Intensiv,youtube_gold,5,100304,3084,299.81,100382,78
Intensiv,youtube_gold,6,100374,3088,299.81,100465,91
Intensiv,youtube_gold,7,100487,3092,299.8,100560,73
Intensiv,youtube_gold,8,100300,3084,299.5,100378,78
Intensiv,youtube_gold,9,100307,3084,299.6,100385,78
Intensiv,youtube_gold,10,100550,3093,299.8,100644,94
Balancuar,youtube_gold,1,100367,3090,299.8,100439,72
Balancuar,youtube_gold,2,100446,3092,299.86,100518,72
Balancuar,youtube_gold,3,100301,3082,299.81,100365,64
Balancuar,youtube_gold,4,100321,3084,299.83,100399,78
Balancuar,youtube_gold,5,100292,3084,299.66,100370,78
Balancuar,youtube_gold,6,100502,3101,299.81,100553,51
Balancuar,youtube_gold,7,100359,3084,299.83,100406,47
Balancuar,youtube_gold,8,100298,3084,299.81,100383,85
Balancuar,youtube_gold,9,100342,3084,299.71,100389,47
Balancuar,youtube_gold,10,100454,3091,299.81,100522,68
