config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,china_pw,1,2965,41,299.77,2990,25
Default,china_pw,2,3024,41,299.74,3030,6
Default,china_pw,3,2991,41,299.5,3011,20
Default,china_pw,4,3086,42,299.51,3089,3
Default,china_pw,5,3068,42,299.52,3088,20
Default,china_pw,6,3097,42,299.52,3108,11
Default,china_pw,7,3037,41,299.79,3101,64
Default,china_pw,8,3062,41,299.46,3097,35
Default,china_pw,9,2989,40,299.78,2996,7
Default,china_pw,10,3062,41,299.47,3107,45
Explorues,china_pw,1,2956,41,299.55,3019,63
Explorues,china_pw,2,2992,41,299.48,3012,20
Explorues,china_pw,3,2987,41,299.44,3012,25
Explorues,china_pw,4,3045,41,299.53,3107,62
Explorues,china_pw,5,2987,41,299.55,3012,25
Explorues,china_pw,6,3104,42,299.45,3107,3
Explorues,china_pw,7,2992,41,299.5,3012,20
Explorues,china_pw,8,3045,41,299.51,3107,62
Explorues,china_pw,9,3100,42,299.48,3107,7
Explorues,china_pw,10,3030,41,299.46,3092,62
Intensiv,china_pw,1,3015,42,267.68,3019,4
Intensiv,china_pw,2,3097,42,285.75,3107,10
Intensiv,china_pw,3,2992,41,268.46,3012,20
Intensiv,china_pw,4,3007,41,281.99,3012,5
Intensiv,china_pw,5,2887,40,254.36,2894,7
Intensiv,china_pw,6,3103,42,288.16,3108,5
Intensiv,china_pw,7,2987,41,278.97,3012,25
Intensiv,china_pw,8,3104,42,268.39,3107,3
Intensiv,china_pw,9,3097,42,275.33,3107,10
Intensiv,china_pw,10,3104,42,273.61,3107,3
Balancuar,china_pw,1,3015,42,299.45,3019,4
Balancuar,china_pw,2,3101,42,299.47,3107,6
Balancuar,china_pw,3,3100,42,296.63,3107,7
Balancuar,china_pw,4,3010,41,299.52,3012,2
Balancuar,china_pw,5,3104,42,282.01,3107,3
Balancuar,china_pw,6,3103,42,292.41,3108,5
Balancuar,china_pw,7,2987,41,299.59,3012,25
Balancuar,china_pw,8,3104,42,299.51,3107,3
Balancuar,china_pw,9,2989,40,299.5,2996,7
Balancuar,china_pw,10,3101,42,299.48,3108,7
