config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,kosovo_tv,1,2591,32,17.21,2591,0
Default,kosovo_tv,2,2591,32,16.88,2591,0
Default,kosovo_tv,3,2587,32,19.48,2591,4
Default,kosovo_tv,4,2591,32,17.29,2591,0
Default,kosovo_tv,5,2587,32,18.22,2591,4
Default,kosovo_tv,6,2591,32,25.23,2591,0
Default,kosovo_tv,7,2587,32,17.79,2591,4
Default,kosovo_tv,8,2591,32,18.0,2591,0
Default,kosovo_tv,9,2591,32,18.79,2591,0
Default,kosovo_tv,10,2587,32,17.45,2591,4
Explorues,kosovo_tv,1,2591,32,26.74,2591,0
Explorues,kosovo_tv,2,2591,32,27.23,2591,0
Explorues,kosovo_tv,3,2591,32,27.39,2591,0
Explorues,kosovo_tv,4,2591,32,26.91,2591,0
Explorues,kosovo_tv,5,2591,32,27.1,2591,0
Explorues,kosovo_tv,6,2591,32,29.16,2591,0
Explorues,kosovo_tv,7,2591,32,28.64,2591,0
Explorues,kosovo_tv,8,2591,32,30.25,2591,0
Explorues,kosovo_tv,9,2591,32,28.76,2591,0
Explorues,kosovo_tv,10,2591,32,29.76,2591,0
Intensiv,kosovo_tv,1,2587,32,11.14,2591,4
Intensiv,kosovo_tv,2,2587,32,11.56,2591,4
Intensiv,kosovo_tv,3,2587,32,11.92,2591,4
Intensiv,kosovo_tv,4,2587,32,10.92,2591,4
Intensiv,kosovo_tv,5,2587,32,10.86,2591,4
Intensiv,kosovo_tv,6,2587,32,11.65,2591,4
Intensiv,kosovo_tv,7,2587,32,11.17,2591,4
Intensiv,kosovo_tv,8,2591,32,11.73,2591,0
Intensiv,kosovo_tv,9,2587,32,11.19,2591,4
Intensiv,kosovo_tv,10,2587,32,11.05,2591,4
Balancuar,kosovo_tv,1,2591,32,17.5,2591,0
Balancuar,kosovo_tv,2,2587,32,17.57,2591,4
Balancuar,kosovo_tv,3,2591,32,23.22,2591,0
Balancuar,kosovo_tv,4,2591,32,19.11,2591,0
Balancuar,kosovo_tv,5,2587,32,18.31,2591,4
Balancuar,kosovo_tv,6,2591,32,23.46,2591,0
Balancuar,kosovo_tv,7,2587,32,17.07,2591,4
Balancuar,kosovo_tv,8,2591,32,18.49,2591,0
Balancuar,kosovo_tv,9,2591,32,24.93,2591,0
Balancuar,kosovo_tv,10,2587,32,17.47,2591,4
