config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,usa_tv,1,3572,35,283.04,3574,2
Default,usa_tv,2,3572,35,213.98,3574,2
Default,usa_tv,3,3572,35,267.9,3574,2
Default,usa_tv,4,3572,35,260.92,3574,2
Default,usa_tv,5,3572,35,198.3,3574,2
Default,usa_tv,6,3572,35,245.71,3575,3
Default,usa_tv,7,3575,35,279.86,3577,2
Default,usa_tv,8,3572,35,180.58,3574,2
Default,usa_tv,9,3576,35,299.18,3578,2
Default,usa_tv,10,3576,35,201.64,3578,2
Explorues,usa_tv,1,3572,35,232.22,3574,2
Explorues,usa_tv,2,3573,35,236.92,3574,1
Explorues,usa_tv,3,3572,35,268.72,3575,3
Explorues,usa_tv,4,3572,35,277.36,3574,2
Explorues,usa_tv,5,3576,35,286.36,3576,0
Explorues,usa_tv,6,3576,35,263.12,3576,0
Explorues,usa_tv,7,3572,35,231.44,3577,5
Explorues,usa_tv,8,3572,35,229.88,3574,2
Explorues,usa_tv,9,3576,35,287.65,3578,2
Explorues,usa_tv,10,3578,34,271.26,3578,0
Intensiv,usa_tv,1,3572,35,135.16,3574,2
Intensiv,usa_tv,2,3574,35,227.89,3574,0
Intensiv,usa_tv,3,3572,35,299.46,3574,2
Intensiv,usa_tv,4,3572,35,289.27,3574,2
Intensiv,usa_tv,5,3573,35,296.19,3575,2
Intensiv,usa_tv,6,3577,35,164.23,3579,2
Intensiv,usa_tv,7,3578,35,285.63,3578,0
Intensiv,usa_tv,8,3575,35,264.94,3575,0
Intensiv,usa_tv,9,3578,35,299.49,3578,0
Intensiv,usa_tv,10,3576,35,299.45,3578,2
Balancuar,usa_tv,1,3574,35,299.78,3574,0
Balancuar,usa_tv,2,3572,35,299.51,3574,2
Balancuar,usa_tv,3,3572,35,280.92,3575,3
Balancuar,usa_tv,4,3572,35,291.64,3574,2
Balancuar,usa_tv,5,3572,35,293.53,3574,2
Balancuar,usa_tv,6,3572,35,290.47,3574,2
Balancuar,usa_tv,7,3575,35,299.44,3577,2
Balancuar,usa_tv,8,3575,35,298.92,3577,2
Balancuar,usa_tv,9,3576,35,291.4,3578,2
Balancuar,usa_tv,10,3576,35,296.7,3578,2
