config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,uk_tv,1,2264,26,94.14,2266,2
Default,uk_tv,2,2259,26,53.05,2266,7
Default,uk_tv,3,2258,26,44.18,2266,8
Default,uk_tv,4,2264,26,73.67,2266,2
Default,uk_tv,5,2252,26,56.31,2266,14
Default,uk_tv,6,2254,26,57.39,2266,12
Default,uk_tv,7,2259,26,54.71,2266,7
Default,uk_tv,8,2255,26,77.52,2266,11
Default,uk_tv,9,2266,26,57.37,2266,0
Default,uk_tv,10,2263,26,47.58,2266,3
Explorues,uk_tv,1,2264,26,112.41,2266,2
Explorues,uk_tv,2,2264,26,93.64,2266,2
Explorues,uk_tv,3,2266,26,157.9,2266,0
Explorues,uk_tv,4,2266,26,140.56,2266,0
Explorues,uk_tv,5,2260,26,87.81,2266,6
Explorues,uk_tv,6,2264,26,99.0,2266,2
Explorues,uk_tv,7,2259,26,83.15,2266,7
Explorues,uk_tv,8,2260,26,85.01,2266,6
Explorues,uk_tv,9,2260,26,160.8,2266,6
Explorues,uk_tv,10,2252,26,84.56,2266,14
Intensiv,uk_tv,1,2255,26,40.96,2266,11
Intensiv,uk_tv,2,2259,26,33.46,2266,7
Intensiv,uk_tv,3,2249,26,22.45,2266,17
Intensiv,uk_tv,4,2264,26,29.48,2266,2
Intensiv,uk_tv,5,2262,26,23.82,2266,4
Intensiv,uk_tv,6,2259,26,23.72,2266,7
Intensiv,uk_tv,7,2260,26,31.94,2266,6
Intensiv,uk_tv,8,2266,26,21.91,2266,0
Intensiv,uk_tv,9,2259,26,28.51,2266,7
Intensiv,uk_tv,10,2252,26,22.77,2266,14
Balancuar,uk_tv,1,2257,26,44.72,2266,9
Balancuar,uk_tv,2,2266,26,80.89,2266,0
Balancuar,uk_tv,3,2260,26,58.61,2266,6
Balancuar,uk_tv,4,2261,26,55.24,2266,5
Balancuar,uk_tv,5,2257,26,73.76,2266,9
Balancuar,uk_tv,6,2252,26,53.59,2266,14
Balancuar,uk_tv,7,2253,26,47.64,2266,13
Balancuar,uk_tv,8,2264,26,47.75,2266,2
Balancuar,uk_tv,9,2256,26,55.33,2266,10
Balancuar,uk_tv,10,2266,26,55.66,2266,0
